week ending,Android Organic Traffic,Android Paid Traffic,Mweb Organic Traffic,Mweb Paid Traffic,iOS Traffic,Desktop Traffic,Gold Sold online,Organic App Installs,Paid App Installs,Google Spends,Meta Spends,Google Search,PMax Spends,Meta App Installs spends,Meta Reengagement spends,Google Reengagement,Total Marketing Spends,Total GRPs,Whatsapp base,SMS base,Affiliate spends,Search Trends,Total Footfall PSPD
4/3/2022,517848,427046,322302,312501,97708,644671,13631,,,7341773,2963338,2546825,64117,241824,2721514,2475053,10305110,184,,24323521,,42,58.30
4/10/2022,458517,408975,313003,284576,95215,631732,10733,,,7657693,2880308,2659415,114495,237092,2643216,2594650,10538002,104,1529316,20164346,,51,51.95
4/17/2022,416951,397187,288225,271971,97724,553735,11063,,,6934707,2391319,2536497,108120,172693,2218626,2134569,9326027,151,959770,38674175,,54,52.90
4/24/2022,414249,398903,287626,278152,90219,540845,11364,,,6728547,2334989,2556556,104629,168055,2166934,2018362,9063536,37,515123,13336521,,57,53.04
5/1/2022,397177,376342,279610,267799,92987,509456,11226,,,6539513,2331926,2417060,77098,174807,2157119,1954642,8871439,96,5,15937433,,58,51.44
5/8/2022,382473,378190,277370,277578,86775,510639,9675,,,6154209,1940094,2273719,72204,142123,1797971,1856988,8094303,101,1465832,21120291,1031702,58,54.57
5/15/2022,372026,369111,273370,273009,90617,539119,8562,,,6300016,1982145,2349841,66501,150277,1831868,1912387,8282161,45,559839,19538381,1000098,60,50.12
5/22/2022,375520,390993,270829,299481,90516,553156,8992,,,5801968,2037685,2281029,70254,171173,1866512,1712439,7839652,89,44166,23493860,1002417,60,49.85
5/29/2022,379694,418363,272194,340819,69987,596097,11974,,,6559277,2225513,2223787,99507,214682,2010831,2049786,8784790,89,1912718,19212186,1072275,60,50.88
6/5/2022,375769,384526,272902,344446,79147,615386,11821,,,6949915,2373599,2316714,76734,221980,2151619,2395099,9323515,52,835440,19178190,1156348,60,53.01
6/12/2022,394145,407192,274312,330744,90678,579786,17668,,,7033252,2340107,2306709,57577,222012,2118095,2424615,9373360,14,14,19230928,1178681,63,52.71
6/19/2022,412662,420882,280226,354113,83259,566027,12184,,,7383960,2445642,2292836,55334,293794,2151848,2455108,9829602,61,2643661,18518687,1069203,61,51.02
6/26/2022,437129,406686,295423,349649,95391,586295,10684,,,8263860,2498831,2656389,55073,279869,2218962,2435694,10762691,138,1,20442263,1166082,61,50.75
7/3/2022,444633,366847,285334,327670,88470,554550,10091,,,8228129,2498914,2591152,60161,267273,2231641,2718489,10727043,119,3539459,17346462,1110852,62,50.55
7/10/2022,447993,355366,267767,339491,90318,573088,9144,93343,137542,7235675,2499823,1957463,43247,272852,2226971,2516129,9735498,105,188766,18112939,1221180,58,49.51
7/17/2022,414866,359287,233929,354236,91107,620689,8669,95781,132010,6420613,2450000,1592454,76679,268085,2181915,2089437,8870614,126,2171916,15276787,1269542,61,52.70
7/24/2022,417761,365422,235635,349496,96861,593829,11002,95304,112921,5942567,2365680,1427130,92039,248931,2116749,2485709,8308247,121,986833,20792301,1173881,59,54.51
7/31/2022,422829,377309,293952,391048,97560,762982,9875,87933,106442,6106354,2320308,1576554,81122,243097,2077211,2641175,8426661,226,2089895,20797266,1322437,57,53.79
8/7/2022,437776,396441,314843,354201,101801,718629,10924,91706,119196,6618533,2298553,1643707,103138,244757,2053796,2772263,8917086,225,2187468,20076518,1517113,60,54.42
8/14/2022,404942,417185,310892,339876,93070,656221,16502,88454,120015,6695960,2313208,1713627,97549,247510,2065698,2765846,9009167,147,3698104,14014371,1536912,57,54.64
8/21/2022,394554,422905,303425,341826,94776,644358,16170,84008,117377,6512719,2309510,1626883,92368,249380,2060130,2730327,8822228,117,2063,17575212,1494787,65,56.53
8/28/2022,383562,431949,287550,383683,93716,626463,15001,85103,113439,5905769,2314659,1514228,42573,253835,2060824,2586681,8220429,78,2440725,17959107,1161169,64,50.07
9/4/2022,383830,458369,294390,381975,88814,641480,10907,90345,108461,5646950,2320885,1544183,45996,262893,2057992,2620848,7967835,156,1503239,25431262,994696,61,50.46
9/11/2022,383599,465423,293765,377171,95407,759696,8969,87108,117831,7385754,2365406,1630157,101778,265745,2099662,2973614,9751160,117,2294961,17643918,958580,62,50.11
9/18/2022,343193,450570,286733,347887,86113,718374,16174,92721,121511,6892452,2466215,1692515,147333,239887,2226328,2897658,9358667,168,1165851,18582942,963423,61,50.80
9/25/2022,347025,483087,284037,396240,89504,669529,15442,89616,103230,6730436,2509308,1711893,146594,229540,2279768,2771500,9239743,118,1729881,17730064,968736,56,49.77
10/2/2022,364454,484171,324086,468808,89562,782379,10465,80824,117779,6569317,2596145,1440550,130927,249029,2347117,2887374,9165462,131,2554988,12826626,1218306,60,48.60
10/9/2022,336412,442517,285657,415671,90635,675216,51778,75478,138196,6147520,2556637,1328328,154619,256549,2300088,2425015,8704156,191,1488998,16727812,1460935,60,49.83
10/16/2022,343193,448235,279478,366625,86662,610220,10077,66845,128902,5699683,2459459,1334925,129640,256704,2202755,2102659,8159142,134,2207106,15959846,1257829,57,50.65
10/23/2022,348767,461191,297197,424038,94901,668245,7899,63697,122273,5908922,2420418,1443495,211532,389839,2030579,1895270,8329341,106,1148563,17163678,1278096,57,49.78
10/30/2022,349619,450942,315566,510960,99430,773610,7813,68415,137710,6304629,2490017,1702917,387018,466632,2023385,1952962,8794646,138,306610,16576217,1429339,59,49.90
11/6/2022,384098,450965,348533,548912,103326,952399,15655,73705,135737,7275821,2487321,2827786,422294,466328,2020993,1715102,9763142,123,767617,16227710,1236528,43,51.41
11/13/2022,369623,443762,330132,510986,104521,937875,36472,83593,148381,7844444,2501909,3006335,406955,466417,2035492,1970601,10346353,155,2704180,15027470,1259259,49,50.82
11/20/2022,361442,417097,348136,490490,106345,896049,50360,78801,135317,7942288,2627831,3196791,395722,463675,2164156,1871891,10570119,81,2921891,18379826,1250462,74,51.89
11/27/2022,361770,402102,322338,445361,109113,913266,37610,73872,134644,7669963,2350766,3100516,401693,468422,1882344,1636967,10020729,128,1742773,16843424,1226920,72,50.95
12/4/2022,346293,392117,307591,473693,105309,876485,40930,68148,138341,7398648,2273562,3087579,398766,461570,1811992,1355909,9672210,92,1647731,17381357,1257543,57,50.76
12/11/2022,346620,417156,303577,590452,104774,981657,43128,56955,136746,7171368,2463646,2919456,420304,514357,1949289,1300387,9635014,-,1411000,19929085,1209286,57,48.22
12/18/2022,377794,434770,303933,597157,116980,1069360,42060,50607,148390,7413626,2787704,2845059,447038,638002,2149702,1685192,10201330,70,1302362,15612687,1294605,60,47.09
12/25/2022,383267,428968,298685,630703,119410,1000258,44217,43115,175589,7536481,2774254,2791764,436404,650059,2124195,1480809,10310735,242,1218560,22334071,1396069,55,47.50
1/1/2023,380551,480192,350056,706078,126390,1234572,41011,41228,182135,6729317,2841336,2669721,389709,651308,2190028,1374042,9570653,320,486402,23266431,1998616,67,51.59
1/8/2023,389565,442786,370769,699584,129411,1234120,39103,47087,173634,7593494,2863708,2819337,223263,651061,2212647,2870618,7592403,119,1121431,20642223,1797403,45,49.09
1/15/2023,413986,435318,380607,612249,136475,1129854,39122,51951,164334,7799385,2814764,2973729,217908,667722,2147042,2741806,7676180,30,1452329,21625955,1222095,58,48.08
1/22/2023,424921,410540,409152,656418,135995,1141705,32501,80404,160179,7449869,2832348,2939195,228101,691217,2141131,2602077,7592126,57,2773322,22431189,537449,67,49.52
1/29/2023,427106,501218,467705,733603,138323,1254439,29477,120580,139562,6737070,2828384,2748962,185705,704022,2124362,2521106,7266881,131,211707,27498174,257593,54,51.76
2/5/2023,441798,454966,501629,635346,139031,1282815,33713,118150,149361,8486132,2820060,3903750,280470,703654,2116406,2878123,8780832,81,10863,17202499,298886,61,50.44
2/12/2023,451056,469546,521930,667716,144511,1315026,45138,122834,154982,7559323,2824037,2933188,238714,703936,2120101,2965984,7796482,143,1650703,22129475,263522,55,53.22
2/19/2023,396317,477742,477778,716031,138800,1272478,39222,140151,136431,6766187,2817610,2710009,234984,700621,2116989,2613632,7484577,65,1445364,21637159,251852,54,54.28
2/26/2023,396557,454289,455525,733461,134375,1223599,36630,120809,123748,6215887,2818284,2734905,236896,699299,2118985,2249076,7546320,41,1881901,21249769,223056,54,53.36
3/5/2023,422143,447654,471910,621389,138906,1147057,25859,112839,133506,6478185,3114128,2760072,225761,998768,2115360,2171960,10476340,39,1011305,18983204,229543,70,56.16
3/12/2023,412763,466833,443941,595000,127677,1065739,27474,106236,149419,6392276,3372328,2743023,242439,1256229,2116099,1955026,10714242,87,1079114,21779386,333332,95,56.98
3/19/2023,405701,461961,434834,585512,132311,1070079,30486,98688,143258,6296285,3160383,2668519,257125,1075874,2084509,1862441,10303866,102,852013,21512540,314241,86,57.91
3/26/2023,391281,444585,416375,582798,129542,1049336,25117,95720,141216,6256417,2841374,2597959,244289,873414,1967959,1949622,9903721,109,1128124,22274857,313272,81,59.38
4/2/2023,391281,444585,422055,582798,145199,357850,25583,93280,130642,5873733,2875316,2504122,276108,969209,1906108,1696130,9517750,116,1465928,23265436,259480,76,56.16
4/9/2023,419536,428470,438891,499790,150412,380788,16965,93684,141852,7455353,3828873,2766924,265265,1559589,2269284,882329,11305254,81,1304879,24569022,234719,77,60.65
4/16/2023,441143,428671,399119,517556,145037,404389,24020,92475,153812,7533209,4561701,2674641,363175,1960509,2601191,911461,12114725,129,892451,25175687,242591,77,58.20
4/23/2023,449854,447496,398218,534853,144791,382161,25270,89215,171553,7071682,4738968,2396548,553741,2373489,2365479,895085,11831654,38,1407548,22464951,307136,70,56.23
4/30/2023,440361,453812,406958,561046,146313,381734,26319,87815,169159,6683627,5114360,2137963,693965,2331454,2782906,1240331,12001183,42,1971916,26212860,342163,74,56.00
5/7/2023,446504,501826,437810,573209,152620,392079,16752,88092,175253,8547152,5546192,2619174,876395,2301067,3245125,1221082,14409002,56,1676907,23465782,338789,63,57.80
5/14/2023,481351,527599,425121,534355,160951,425359,29206,94916,184857,8064581,6024644,1874775,976731,2376185,3648458,1153545,14403160,122,1473291,23749827,360351,69,58.25
5/21/2023,476665,544718,415489,564826,154572,407773,24481,90262,186980,7873569,5904320,1681575,991299,2377824,3526496,1262442,14093180,122,2772351,17306999,298207,68,57.12
5/28/2023,450790,550221,409423,570260,150565,383215,23357,88257,169482,7642448,5718594,1618420,948150,2302189,3416406,1299439,13675786,139,788527,21874571,285201,63,54.57
6/4/2023,446599,549087,416709,498371,154851,385695,20991,97791,155336,7463889,5895907,1081371,975491,2300295,3595612,1371805,13674890,150,825398,22692679,226910,69,57.70
6/11/2023,496168,542645,432566,462243,155792,416146,20568,111851,172929,7604757,6228017,958630,1016535,2640066,3587951,1401098,14147803,143,658325,21970784,220950,74,57.93
6/18/2023,478073,566985,445729,456120,163020,418370,35159,105577,152126,6711342,5936985,883193,916463,2465781,3471205,1326179,12950863,120,1104098,22771859,224560,80,57.55
6/25/2023,470469,536557,435286,457703,161432,421792,48150,113520,150652,6385169,5662559,792461,816026,2247392,3415167,1407097,12321168,107,975882,20655886,232010,79,56.54
7/2/2023,487427,597030,430928,494535,160900,415729,40706,99902,171456,7620470,6297855,766398,824872,2769649,3528207,2346468,14159953,158,2643513,21618867,274595,72,58.49
7/9/2023,484522,584973,424860,525278,161472,430571,35076,92126,179072,8263164,6460739,761808,923885,3063343,3397396,2367655,14833387,225,1105556,21113084,240650,80,58.27
7/16/2023,468376,514288,435843,427330,164274,414150,43749,90052,175601,7267115,5747976,674759,1080499,3146664,2601312,2053889,13140462,153,804062,19973776,225020,81,58.44
7/23/2023,490596,529842,453226,461390,166237,422733,38201,92496,175127,7774264,4729321,671825,1194955,2466296,2263025,2073641,12575620,193,1336036,21711023,226220,79,56.65
7/30/2023,496345,543105,453405,522827,160382,436972,32830,98647,173670,8582390,3848902,717532,1580727,1745921,2102982,1812680,12430995,189,1272883,20766633,245630,91,57.66
8/6/2023,217917,953614,479871,471408,166427,469295,39390,94236,200199,8946481,3898415,744820,1772889,1783327,2115087,1750511,12844083,237,1020173,21009267,246537,94,60.43
8/13/2023,246728,892198,459908,421465,168849,460205,50484,92222,201215,8789043,3716006,768031,1750433,1711849,2004158,1756030,12504443,170,884194,20215553,242113,97,59.58
8/20/2023,198491,889312,444988,408624,167607,436873,48247,81870,202983,8502336,4359083,709573,1757530,2217223,2141861,1691598,12860775,152,857227,20190394,243869,97,61.37
8/27/2023,222543,856100,414871,435021,155187,393546,34395,69921,195385,8978003,5012126,762223,1745338,2768241,2243885,1625140,13989347,128,1113833,20064009,250408,87,54.42
9/3/2023,184173,899389,396521,422041,159669,389789,37449,72922,187548,8847483,5569847,927299,1770528,3206015,2363832,1565981,14416350,252,1069466,19018311,179648,74,56.39
9/10/2023,201195,945475,415869,437939,159966,411791,41070,78155,198771,8774773,5461158,893463,1883586,2977505,2483653,1661355,14235179,172,727194,18206265,173736,73,54.78
9/17/2023,269401,922032,349568,383403,161605,487695,40290,78418,220327,7652850,5672531,935991,1656935,2795037,2877494,1590318,13353892,192,5147794,19323907,192266,69,52.45
9/24/2023,207203,887099,421375,589792,155375,446074,28883,79061,240262,7777894,6046118,1323840,1173427,2706272,3339846,2156535,14026373,100,464941,18727816,234612,76,52.45
10/1/2023,204951,881568,532758,487226,153460,435958,32093,83359,229431,7496085,6485022,1327826,1103435,3056557,3428465,1911400,14259940,201,678410,17007931,216142,80,52.96
10/8/2023,229384,868623,554744,364333,162473,448594,34057,95100,211858,7802195,6454375,1411702,1127299,3039726,3414648,1978692,14535395,157,1604016,17464576,243064,86,58.35
10/15/2023,226731,837446,536760,339725,166164,450191,34896,84174,204231,7597935,6456350,1291460,1143858,3079389,3376961,1875791,14333454,113,1624382,16287512,222971,78,54.02
10/22/2023,232614,805583,491505,304944,175072,441494,35563,75405,195270,7136689,6557038,1296448,859715,3232762,3324276,1706538,13971635,91,3549133,16324197,200398,77,50.50
10/29/2023,220220,769872,429911,333980,178420,445984,39077,81753,196921,7065891,6597175,1393548,585633,3350042,3247133,1868059,13942146,108,2404047,8912424,194015,75,52.74
11/5/2023,194037,739189,414912,349158,164863,409568,34079,90925,179716,6378705,5799400,1758977,918890,3063737,2735663,1443674,12456759,99,1811990,16571746,210520,67,52.06
11/12/2023,202440,636246,381924,310229,161441,369919,25917,92848,137846,4225766,5478513,1753449,742129,2894953,2583560,668057,9983171,87,1130261,21711186,224277,68,46.66
11/19/2023,222614,625085,409627,337163,174113,393310,24091,90690,150738,3819744,5515759,2027084,637196,2895178,2620582,436458,9614318,137,2032628,19318558,241379,74,54.08
11/26/2023,252540,600232,316669,315345,170447,405504,26513,94584,145286,4654417,5519411,2232351,746604,2831343,2688068,619948,10453843,125,789270,19320819,262726,63,50.51
12/3/2023,222608,603759,421784,340103,169674,416412,34117,77250,162757,5433541,5564834,2436386,722151,2799925,2764909,598813,11277422,181,1345635,22451966,306136,68,49.84
12/10/2023,216132,660014,519678,352019,181578,443986,31546,65224,175913,6656451,6377845,2314822,866698,3614473,2763372,727691,13312902,234,162609,1526493,312834,66,47.91
12/17/2023,230822,624791,562923,338819,173204,442677,41952,63809,192354,4133925,8085662,1892663,820873,5691199,2394463,623110,12333901,216,3483652,18012567,269697,74,48.51
12/24/2023,244625,602755,537961,361663,186594,453260,59903,67412,174263,3153718,7980343,2135753,610417,6058083,1922260,417543,11134060,143,5724728,18853231,183344,74,49.78
12/31/2023,268470,578296,564737,295496,173678,443551,59786,69620,171293,3010088,7276514,1858095,557450,5474973,1801541,380615,10286601,134,3778449,6891322,197813,81,55.96
1/7/2024,275548,567080,643812,271572,173113,433671,62655,73492,182359,3429273,7174441,1913523,547367,5353861,1820580,399601,10601868,110,1659994,22818050,211287,72,52.37
1/14/2024,282498,559514,496318,289491,174093,420953,56123,65809,177937,3025209,7215568,1800229,517814,5364337,1851231,408499,10240777,100,59498,13731111,224897,80,50.94
1/21/2024,272120,592440,369211,329802,191201,212081,70677,69987,179794,3526152,7206539,2121063,687007,5353623,1852916,394318,10730614,90,7871559,14172121,215115,73,50.89
1/28/2024,259696,543209,384365,347606,174193,143365,60304,68075,168339,3265421,7019552,1846126,600523,5306980,1712573,468660,10282703,134,4739946,14043686,230468,76,51.64
,,,,,,,,,,,,,,,,,,,,,,,51.47